1776533511,0.0,0.0,47.4
1776533513,0.0,0.0,20
1776533516,0.0,6.7,38.1
1776533518,0.0,20.0,23.6
1776533521,0.0,0.0,23.2
1776533523,0.0,0.0,14.8
1776533526,0.0,0.0,19.7
1776533528,0.0,0.0,49.2
1776533531,0.0,0.0,19.2
1776533533,0.0,0.0,35.7
1776533536,0.0,0.0,39
1776533538,0.0,6.7,17
1776533541,0.0,6.7,19.7
1776533543,0.0,0.0,28.3
1776533546,0.0,33.3,25.4
1776533548,0.0,46.7,18.9
1776533550,0.0,0.0,19.7
1776533553,0.0,0.0,21.4
1776533555,0.0,0.0,27.6
1776533558,0.0,0.0,32.2
1776533560,0.0,0.0,34
1776533563,0.0,40.0,23.2
1776533565,0.0,0.0,38.3
1776533568,0.0,53.3,23.7
1776533570,0.0,0.0,27
1776533573,0.0,0.0,21.4
1776533575,0.0,0.0,26.3
1776533578,0.0,0.0,55.5
1776533580,0.0,6.7,26.7
1776533583,0.0,0.0,33.9
